  Frequency             V(V4:+,V4:-)          V(R2:1,V4:-)          V(R2:2,V3:-)         
  1.352072563194e+00  8.500000000000e+00  4.193012469563e-02  8.345928353128e+00  
  1.355189412351e+00  8.500000000000e+00  4.193087372256e-02  8.345928330985e+00  
  1.358313446587e+00  8.500000000000e+00  4.193162619336e-02  8.345928308741e+00  
  1.361444682466e+00  8.500000000000e+00  4.193238212380e-02  8.345928286393e+00  
  1.364583136589e+00  8.500000000000e+00  4.193314152973e-02  8.345928263943e+00  
  1.367728825596e+00  8.500000000000e+00  4.193390442706e-02  8.345928241389e+00  
  1.370881766165e+00  8.500000000000e+00  4.193467083179e-02  8.345928218730e+00  
  1.374041975013e+00  8.500000000000e+00  4.193544075996e-02  8.345928195967e+00  
  1.377209468894e+00  8.500000000000e+00  4.193621422771e-02  8.345928173100e+00  
  1.380384264603e+00  8.500000000000e+00  4.193699125127e-02  8.345928150126e+00  
  1.383566378972e+00  8.500000000000e+00  4.193777184689e-02  8.345928127047e+00  
  1.386755828872e+00  8.500000000000e+00  4.193855603094e-02  8.345928103861e+00  
  1.389952631213e+00  8.500000000000e+00  4.193934381984e-02  8.345928080567e+00  
  1.393156802945e+00  8.500000000000e+00  4.194013523011e-02  8.345928057167e+00  
  1.396368361056e+00  8.500000000000e+00  4.194093027831e-02  8.345928033658e+00  
  1.399587322573e+00  8.500000000000e+00  4.194172898110e-02  8.345928010041e+00  
  1.402813704562e+00  8.500000000000e+00  4.194253135522e-02  8.345927986315e+00  
  1.406047524130e+00  8.500000000000e+00  4.194333741746e-02  8.345927962479e+00  
  1.409288798422e+00  8.500000000000e+00  4.194414718470e-02  8.345927938534e+00  
  1.412537544623e+00  8.500000000000e+00  4.194496067391e-02  8.345927914478e+00  
  1.415793779957e+00  8.500000000000e+00  4.194577790213e-02  8.345927890310e+00  
  1.419057521689e+00  8.500000000000e+00  4.194659888645e-02  8.345927866032e+00  
  1.422328787123e+00  8.500000000000e+00  4.194742364408e-02  8.345927841641e+00  
  1.425607593602e+00  8.500000000000e+00  4.194825219227e-02  8.345927817137e+00  
  1.428893958511e+00  8.500000000000e+00  4.194908454839e-02  8.345927792521e+00  
  1.432187899274e+00  8.500000000000e+00  4.194992072984e-02  8.345927767791e+00  
  1.435489433354e+00  8.500000000000e+00  4.195076075414e-02  8.345927742947e+00  
  1.438798578256e+00  8.500000000000e+00  4.195160463887e-02  8.345927717988e+00  
  1.442115351525e+00  8.500000000000e+00  4.195245240170e-02  8.345927692913e+00  
  1.445439770746e+00  8.500000000000e+00  4.195330406035e-02  8.345927667724e+00  
  1.448771853545e+00  8.500000000000e+00  4.195415963267e-02  8.345927642417e+00  
  1.452111617588e+00  8.500000000000e+00  4.195501913655e-02  8.345927616994e+00  
  1.455459080582e+00  8.500000000000e+00  4.195588258998e-02  8.345927591454e+00  
  1.458814260275e+00  8.500000000000e+00  4.195675001102e-02  8.345927565796e+00  
  1.462177174457e+00  8.500000000000e+00  4.195762141783e-02  8.345927540019e+00  
  1.465547840956e+00  8.500000000000e+00  4.195849682864e-02  8.345927514124e+00  
  1.468926277644e+00  8.500000000000e+00  4.195937626176e-02  8.345927488108e+00  
  1.472312502433e+00  8.500000000000e+00  4.196025973559e-02  8.345927461973e+00  
  1.475706533276e+00  8.500000000000e+00  4.196114726861e-02  8.345927435717e+00  
  1.479108388168e+00  8.500000000000e+00  4.196203887937e-02  8.345927409340e+00  
  1.482518085146e+00  8.500000000000e+00  4.196293458654e-02  8.345927382841e+00  
  1.485935642287e+00  8.500000000000e+00  4.196383440885e-02  8.345927356220e+00  
  1.489361077711e+00  8.500000000000e+00  4.196473836510e-02  8.345927329476e+00  
  1.492794409579e+00  8.500000000000e+00  4.196564647421e-02  8.345927302609e+00  
  1.496235656094e+00  8.500000000000e+00  4.196655875516e-02  8.345927275617e+00  
  1.499684835502e+00  8.500000000000e+00  4.196747522703e-02  8.345927248501e+00  
  1.503141966090e+00  8.500000000000e+00  4.196839590898e-02  8.345927221260e+00  
  1.506607066187e+00  8.500000000000e+00  4.196932082025e-02  8.345927193893e+00  
  1.510080154164e+00  8.500000000000e+00  4.197024998019e-02  8.345927166400e+00  
  1.513561248436e+00  8.500000000000e+00  4.197118340820e-02  8.345927138780e+00  
  1.517050367459e+00  8.500000000000e+00  4.197212112381e-02  8.345927111032e+00  
  1.520547529732e+00  8.500000000000e+00  4.197306314661e-02  8.345927083156e+00  
  1.524052753797e+00  8.500000000000e+00  4.197400949629e-02  8.345927055152e+00  
  1.527566058238e+00  8.500000000000e+00  4.197496019262e-02  8.345927027018e+00  
  1.531087461682e+00  8.500000000000e+00  4.197591525548e-02  8.345926998755e+00  
  1.534616982799e+00  8.500000000000e+00  4.197687470481e-02  8.345926970361e+00  
  1.538154640303e+00  8.500000000000e+00  4.197783856066e-02  8.345926941836e+00  
  1.541700452950e+00  8.500000000000e+00  4.197880684317e-02  8.345926913179e+00  
  1.545254439538e+00  8.500000000000e+00  4.197977957257e-02  8.345926884390e+00  
  1.548816618912e+00  8.500000000000e+00  4.198075676918e-02  8.345926855468e+00  
  1.552387009958e+00  8.500000000000e+00  4.198173845340e-02  8.345926826413e+00  
  1.555965631605e+00  8.500000000000e+00  4.198272464574e-02  8.345926797223e+00  
  1.559552502827e+00  8.500000000000e+00  4.198371536680e-02  8.345926767899e+00  
  1.563147642641e+00  8.500000000000e+00  4.198471063727e-02  8.345926738440e+00  
  1.566751070108e+00  8.500000000000e+00  4.198571047793e-02  8.345926708844e+00  
  1.570362804334e+00  8.500000000000e+00  4.198671490965e-02  8.345926679112e+00  
  1.573982864466e+00  8.500000000000e+00  4.198772395341e-02  8.345926649243e+00  
  1.577611269699e+00  8.500000000000e+00  4.198873763027e-02  8.345926619235e+00  
  1.581248039270e+00  8.500000000000e+00  4.198975596139e-02  8.345926589090e+00  
  1.584893192461e+00  8.500000000000e+00  4.199077896804e-02  8.345926558805e+00  
  1.588546748598e+00  8.500000000000e+00  4.199180667156e-02  8.345926528380e+00  
  1.592208727051e+00  8.500000000000e+00  4.199283909341e-02  8.345926497815e+00  
  1.595879147237e+00  8.500000000000e+00  4.199387625512e-02  8.345926467109e+00  
  1.599558028615e+00  8.500000000000e+00  4.199491817835e-02  8.345926436261e+00  
  1.603245390690e+00  8.500000000000e+00  4.199596488483e-02  8.345926405270e+00  
  1.606941253013e+00  8.500000000000e+00  4.199701639640e-02  8.345926374137e+00  
  1.610645635178e+00  8.500000000000e+00  4.199807273500e-02  8.345926342860e+00  
  1.614358556826e+00  8.500000000000e+00  4.199913392268e-02  8.345926311438e+00  
  1.618080037643e+00  8.500000000000e+00  4.200019998156e-02  8.345926279872e+00  
  1.621810097359e+00  8.500000000000e+00  4.200127093388e-02  8.345926248160e+00  
  1.625548755750e+00  8.500000000000e+00  4.200234680198e-02  8.345926216301e+00  
  1.629296032640e+00  8.500000000000e+00  4.200342760830e-02  8.345926184296e+00  
  1.633051947894e+00  8.500000000000e+00  4.200451337537e-02  8.345926152142e+00  
  1.636816521428e+00  8.500000000000e+00  4.200560412584e-02  8.345926119840e+00  
  1.640589773200e+00  8.500000000000e+00  4.200669988245e-02  8.345926087390e+00  
  1.644371723215e+00  8.500000000000e+00  4.200780066805e-02  8.345926054789e+00  
  1.648162391525e+00  8.500000000000e+00  4.200890650558e-02  8.345926022038e+00  
  1.651961798229e+00  8.500000000000e+00  4.201001741809e-02  8.345925989136e+00  
  1.655769963470e+00  8.500000000000e+00  4.201113342875e-02  8.345925956081e+00  
  1.659586907438e+00  8.500000000000e+00  4.201225456080e-02  8.345925922875e+00  
  1.663412650370e+00  8.500000000000e+00  4.201338083763e-02  8.345925889515e+00  
  1.667247212551e+00  8.500000000000e+00  4.201451228269e-02  8.345925856001e+00  
  1.671090614311e+00  8.500000000000e+00  4.201564891957e-02  8.345925822332e+00  
  1.674942876026e+00  8.500000000000e+00  4.201679077195e-02  8.345925788508e+00  
  1.678804018123e+00  8.500000000000e+00  4.201793786361e-02  8.345925754528e+00  
  1.682674061070e+00  8.500000000000e+00  4.201909021845e-02  8.345925720391e+00  
  1.686553025389e+00  8.500000000000e+00  4.202024786049e-02  8.345925686096e+00  
  1.690440931643e+00  8.500000000000e+00  4.202141081383e-02  8.345925651643e+00  
  1.694337800447e+00  8.500000000000e+00  4.202257910268e-02  8.345925617031e+00  
  1.698243652462e+00  8.500000000000e+00  4.202375275139e-02  8.345925582259e+00  
  1.702158508395e+00  8.500000000000e+00  4.202493178439e-02  8.345925547327e+00  
  1.706082389003e+00  8.500000000000e+00  4.202611622624e-02  8.345925512234e+00  
  1.710015315090e+00  8.500000000000e+00  4.202730610159e-02  8.345925476978e+00  
  1.713957307508e+00  8.500000000000e+00  4.202850143521e-02  8.345925441560e+00  
  1.717908387158e+00  8.500000000000e+00  4.202970225199e-02  8.345925405978e+00  
  1.721868574986e+00  8.500000000000e+00  4.203090857692e-02  8.345925370233e+00  
  1.725837891990e+00  8.500000000000e+00  4.203212043511e-02  8.345925334322e+00  
  1.729816359215e+00  8.500000000000e+00  4.203333785179e-02  8.345925298245e+00  
  1.733803997754e+00  8.500000000000e+00  4.203456085227e-02  8.345925262002e+00  
  1.737800828749e+00  8.500000000000e+00  4.203578946202e-02  8.345925225591e+00  
  1.741806873392e+00  8.500000000000e+00  4.203702370660e-02  8.345925189013e+00  
  1.745822152920e+00  8.500000000000e+00  4.203826361169e-02  8.345925152266e+00  
  1.749846688625e+00  8.500000000000e+00  4.203950920306e-02  8.345925115349e+00  
  1.753880501842e+00  8.500000000000e+00  4.204076050665e-02  8.345925078261e+00  
  1.757923613959e+00  8.500000000000e+00  4.204201754846e-02  8.345925041003e+00  
  1.761976046412e+00  8.500000000000e+00  4.204328035465e-02  8.345925003572e+00  
  1.766037820686e+00  8.500000000000e+00  4.204454895148e-02  8.345924965969e+00  
  1.770108958317e+00  8.500000000000e+00  4.204582336532e-02  8.345924928192e+00  
  1.774189480890e+00  8.500000000000e+00  4.204710362266e-02  8.345924890241e+00  
  1.778279410039e+00  8.500000000000e+00  4.204838975013e-02  8.345924852114e+00  
  1.782378767448e+00  8.500000000000e+00  4.204968177447e-02  8.345924813812e+00  
  1.786487574852e+00  8.500000000000e+00  4.205097972252e-02  8.345924775333e+00  
  1.790605854035e+00  8.500000000000e+00  4.205228362126e-02  8.345924736676e+00  
  1.794733626833e+00  8.500000000000e+00  4.205359349779e-02  8.345924697841e+00  
  1.798870915129e+00  8.500000000000e+00  4.205490937933e-02  8.345924658826e+00  
  1.803017740860e+00  8.500000000000e+00  4.205623129322e-02  8.345924619632e+00  
  1.807174126011e+00  8.500000000000e+00  4.205755926693e-02  8.345924580256e+00  
  1.811340092620e+00  8.500000000000e+00  4.205889332804e-02  8.345924540699e+00  
