  Frequency             V(V4:+,V4:-)          V(R2:1,V4:-)          V(R2:2,V3:-)         
  1.196740531307e+00  5.000000000000e+00  2.464409746942e-02  4.909370230613e+00  
  1.199499303149e+00  5.000000000000e+00  2.464444294223e-02  4.909370220409e+00  
  1.202264434617e+00  5.000000000000e+00  2.464479000479e-02  4.909370210157e+00  
  1.205035940372e+00  5.000000000000e+00  2.464513866440e-02  4.909370199859e+00  
  1.207813835107e+00  5.000000000000e+00  2.464548892838e-02  4.909370189513e+00  
  1.210598133550e+00  5.000000000000e+00  2.464584080409e-02  4.909370179119e+00  
  1.213388850465e+00  5.000000000000e+00  2.464619429892e-02  4.909370168677e+00  
  1.216186000646e+00  5.000000000000e+00  2.464654942030e-02  4.909370158187e+00  
  1.218989598925e+00  5.000000000000e+00  2.464690617569e-02  4.909370147648e+00  
  1.221799660165e+00  5.000000000000e+00  2.464726457258e-02  4.909370137061e+00  
  1.224616199265e+00  5.000000000000e+00  2.464762461851e-02  4.909370126425e+00  
  1.227439231158e+00  5.000000000000e+00  2.464798632104e-02  4.909370115740e+00  
  1.230268770812e+00  5.000000000000e+00  2.464834968776e-02  4.909370105006e+00  
  1.233104833229e+00  5.000000000000e+00  2.464871472631e-02  4.909370094222e+00  
  1.235947433445e+00  5.000000000000e+00  2.464908144436e-02  4.909370083388e+00  
  1.238796586530e+00  5.000000000000e+00  2.464944984960e-02  4.909370072504e+00  
  1.241652307592e+00  5.000000000000e+00  2.464981994978e-02  4.909370061570e+00  
  1.244514611771e+00  5.000000000000e+00  2.465019175266e-02  4.909370050586e+00  
  1.247383514243e+00  5.000000000000e+00  2.465056526606e-02  4.909370039551e+00  
  1.250259030218e+00  5.000000000000e+00  2.465094049781e-02  4.909370028465e+00  
  1.253141174941e+00  5.000000000000e+00  2.465131745580e-02  4.909370017327e+00  
  1.256029963695e+00  5.000000000000e+00  2.465169614794e-02  4.909370006139e+00  
  1.258925411794e+00  5.000000000000e+00  2.465207658218e-02  4.909369994899e+00  
  1.261827534591e+00  5.000000000000e+00  2.465245876652e-02  4.909369983606e+00  
  1.264736347471e+00  5.000000000000e+00  2.465284270896e-02  4.909369972262e+00  
  1.267651865858e+00  5.000000000000e+00  2.465322841758e-02  4.909369960865e+00  
  1.270574105209e+00  5.000000000000e+00  2.465361590047e-02  4.909369949416e+00  
  1.273503081017e+00  5.000000000000e+00  2.465400516577e-02  4.909369937914e+00  
  1.276438808811e+00  5.000000000000e+00  2.465439622164e-02  4.909369926359e+00  
  1.279381304158e+00  5.000000000000e+00  2.465478907629e-02  4.909369914750e+00  
  1.282330582656e+00  5.000000000000e+00  2.465518373797e-02  4.909369903088e+00  
  1.285286659944e+00  5.000000000000e+00  2.465558021496e-02  4.909369891372e+00  
  1.288249551693e+00  5.000000000000e+00  2.465597851558e-02  4.909369879602e+00  
  1.291219273614e+00  5.000000000000e+00  2.465637864819e-02  4.909369867778e+00  
  1.294195841450e+00  5.000000000000e+00  2.465678062118e-02  4.909369855899e+00  
  1.297179270984e+00  5.000000000000e+00  2.465718444300e-02  4.909369843965e+00  
  1.300169578033e+00  5.000000000000e+00  2.465759012211e-02  4.909369831976e+00  
  1.303166778452e+00  5.000000000000e+00  2.465799766703e-02  4.909369819932e+00  
  1.306170888132e+00  5.000000000000e+00  2.465840708630e-02  4.909369807832e+00  
  1.309181922999e+00  5.000000000000e+00  2.465881838851e-02  4.909369795677e+00  
  1.312199899019e+00  5.000000000000e+00  2.465923158230e-02  4.909369783465e+00  
  1.315224832192e+00  5.000000000000e+00  2.465964667633e-02  4.909369771197e+00  
  1.318256738556e+00  5.000000000000e+00  2.466006367930e-02  4.909369758872e+00  
  1.321295634187e+00  5.000000000000e+00  2.466048259997e-02  4.909369746490e+00  
  1.324341535195e+00  5.000000000000e+00  2.466090344712e-02  4.909369734052e+00  
  1.327394457730e+00  5.000000000000e+00  2.466132622958e-02  4.909369721555e+00  
  1.330454417978e+00  5.000000000000e+00  2.466175095620e-02  4.909369709002e+00  
  1.333521432163e+00  5.000000000000e+00  2.466217763591e-02  4.909369696390e+00  
  1.336595516546e+00  5.000000000000e+00  2.466260627765e-02  4.909369683720e+00  
  1.339676687426e+00  5.000000000000e+00  2.466303689040e-02  4.909369670991e+00  
  1.342764961138e+00  5.000000000000e+00  2.466346948319e-02  4.909369658204e+00  
  1.345860354056e+00  5.000000000000e+00  2.466390406509e-02  4.909369645358e+00  
  1.348962882592e+00  5.000000000000e+00  2.466434064522e-02  4.909369632452e+00  
  1.352072563194e+00  5.000000000000e+00  2.466477923273e-02  4.909369619487e+00  
  1.355189412351e+00  5.000000000000e+00  2.466521983680e-02  4.909369606462e+00  
  1.358313446587e+00  5.000000000000e+00  2.466566246668e-02  4.909369593377e+00  
  1.361444682466e+00  5.000000000000e+00  2.466610713165e-02  4.909369580231e+00  
  1.364583136589e+00  5.000000000000e+00  2.466655384102e-02  4.909369567025e+00  
  1.367728825596e+00  5.000000000000e+00  2.466700260415e-02  4.909369553758e+00  
  1.370881766165e+00  5.000000000000e+00  2.466745343046e-02  4.909369540430e+00  
  1.374041975013e+00  5.000000000000e+00  2.466790632939e-02  4.909369527040e+00  
  1.377209468894e+00  5.000000000000e+00  2.466836131042e-02  4.909369513588e+00  
  1.380384264603e+00  5.000000000000e+00  2.466881838310e-02  4.909369500074e+00  
  1.383566378972e+00  5.000000000000e+00  2.466927755699e-02  4.909369486498e+00  
