depth[m]	temp[K]
-2.482893e+02	0.000000e+00
-2.492669e+02	0.000000e+00
-2.502444e+02	0.000000e+00
-2.512219e+02	0.000000e+00
-2.521994e+02	0.000000e+00
-2.531769e+02	0.000000e+00
-2.541544e+02	0.000000e+00
-2.551320e+02	0.000000e+00
-2.561095e+02	0.000000e+00
-2.570870e+02	0.000000e+00
-2.580645e+02	0.000000e+00
-2.590420e+02	0.000000e+00
-2.600196e+02	0.000000e+00
-2.609971e+02	0.000000e+00
-2.619746e+02	0.000000e+00
-2.629521e+02	0.000000e+00
-2.639296e+02	0.000000e+00
-2.649071e+02	0.000000e+00
-2.658847e+02	0.000000e+00
-2.668622e+02	0.000000e+00
-2.678397e+02	0.000000e+00
-2.688172e+02	0.000000e+00
-2.697947e+02	0.000000e+00
-2.707722e+02	0.000000e+00
-2.717498e+02	0.000000e+00
-2.727273e+02	0.000000e+00
-2.737048e+02	0.000000e+00
-2.746823e+02	0.000000e+00
-2.756598e+02	0.000000e+00
-2.766373e+02	0.000000e+00
-2.776149e+02	0.000000e+00
-2.785924e+02	0.000000e+00
-2.795699e+02	0.000000e+00
-2.805474e+02	0.000000e+00
-2.815249e+02	0.000000e+00
-2.825024e+02	0.000000e+00
-2.834800e+02	0.000000e+00
-2.844575e+02	0.000000e+00
-2.854350e+02	0.000000e+00
-2.864125e+02	0.000000e+00
-2.873900e+02	0.000000e+00
-2.883675e+02	0.000000e+00
-2.893451e+02	0.000000e+00
-2.903226e+02	0.000000e+00
-2.913001e+02	0.000000e+00
-2.922776e+02	0.000000e+00
-2.932551e+02	0.000000e+00
-2.942326e+02	0.000000e+00
-2.952102e+02	0.000000e+00
-2.961877e+02	0.000000e+00
-2.971652e+02	0.000000e+00
-2.981427e+02	0.000000e+00
-2.991202e+02	0.000000e+00
-3.000978e+02	0.000000e+00
-3.010753e+02	0.000000e+00
-3.020528e+02	0.000000e+00
-3.030303e+02	0.000000e+00
-3.040078e+02	0.000000e+00
-3.049853e+02	0.000000e+00
-3.059629e+02	0.000000e+00
-3.069404e+02	0.000000e+00
-3.079179e+02	0.000000e+00
-3.088954e+02	0.000000e+00
-3.098729e+02	0.000000e+00
-3.108504e+02	0.000000e+00
-3.118280e+02	0.000000e+00
-3.128055e+02	0.000000e+00
-3.137830e+02	0.000000e+00
-3.147605e+02	0.000000e+00
-3.157380e+02	0.000000e+00
-3.167155e+02	0.000000e+00
-3.176931e+02	0.000000e+00
-3.186706e+02	0.000000e+00
-3.196481e+02	0.000000e+00
-3.206256e+02	0.000000e+00
-3.216031e+02	0.000000e+00
-3.225806e+02	0.000000e+00
-3.235582e+02	0.000000e+00
-3.245357e+02	0.000000e+00
-3.255132e+02	0.000000e+00
-3.264907e+02	0.000000e+00
-3.274682e+02	0.000000e+00
-3.284457e+02	0.000000e+00
-3.294233e+02	0.000000e+00
-3.304008e+02	0.000000e+00
-3.313783e+02	0.000000e+00
-3.323558e+02	0.000000e+00
-3.333333e+02	0.000000e+00
-3.343109e+02	0.000000e+00
-3.352884e+02	0.000000e+00
-3.362659e+02	0.000000e+00
-3.372434e+02	0.000000e+00
-3.382209e+02	0.000000e+00
-3.391984e+02	0.000000e+00
-3.401760e+02	0.000000e+00
-3.411535e+02	0.000000e+00
-3.421310e+02	0.000000e+00
-3.431085e+02	0.000000e+00
-3.440860e+02	0.000000e+00
-3.450635e+02	0.000000e+00
-3.460411e+02	0.000000e+00
-3.470186e+02	0.000000e+00
-3.479961e+02	0.000000e+00
-3.489736e+02	0.000000e+00
-3.499511e+02	0.000000e+00
-3.509286e+02	0.000000e+00
-3.519062e+02	0.000000e+00
-3.528837e+02	0.000000e+00
-3.538612e+02	0.000000e+00
-3.548387e+02	0.000000e+00
-3.558162e+02	0.000000e+00
-3.567937e+02	0.000000e+00
-3.577713e+02	0.000000e+00
-3.587488e+02	0.000000e+00
-3.597263e+02	0.000000e+00
-3.607038e+02	0.000000e+00
-3.616813e+02	0.000000e+00
-3.626588e+02	0.000000e+00
-3.636364e+02	0.000000e+00
-3.646139e+02	0.000000e+00
-3.655914e+02	0.000000e+00
-3.665689e+02	0.000000e+00
-3.675464e+02	0.000000e+00
-3.685239e+02	0.000000e+00
-3.695015e+02	0.000000e+00
-3.704790e+02	0.000000e+00
-3.714565e+02	0.000000e+00
-3.724340e+02	0.000000e+00
-3.734115e+02	0.000000e+00
-3.743891e+02	0.000000e+00
-3.753666e+02	0.000000e+00
-3.763441e+02	0.000000e+00
-3.773216e+02	0.000000e+00
-3.782991e+02	0.000000e+00
-3.792766e+02	0.000000e+00
-3.802542e+02	0.000000e+00
-3.812317e+02	0.000000e+00
-3.822092e+02	0.000000e+00
-3.831867e+02	0.000000e+00
-3.841642e+02	0.000000e+00
-3.851417e+02	0.000000e+00
-3.861193e+02	0.000000e+00
-3.870968e+02	0.000000e+00
-3.880743e+02	0.000000e+00
-3.890518e+02	0.000000e+00
-3.900293e+02	0.000000e+00
-3.910068e+02	0.000000e+00
-3.919844e+02	0.000000e+00
-3.929619e+02	0.000000e+00
-3.939394e+02	0.000000e+00
-3.949169e+02	0.000000e+00
-3.958944e+02	0.000000e+00
-3.968719e+02	0.000000e+00
-3.978495e+02	0.000000e+00
-3.988270e+02	0.000000e+00
-3.998045e+02	0.000000e+00
-4.007820e+02	0.000000e+00
-4.017595e+02	0.000000e+00
-4.027370e+02	0.000000e+00
-4.037146e+02	0.000000e+00
-4.046921e+02	0.000000e+00
-4.056696e+02	0.000000e+00
-4.066471e+02	0.000000e+00
